CD_PROGRAMA_IES;NM_PROGRAMA_IES;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;AN_BASE_PRODUCAO;ID_ADD_PRODUCAO_INTELECTUAL;ID_TIPO_PRODUCAO;ID_SUBTIPO_PRODUCAO;DS_NATUREZA;NM_EDITORA;NM_CIDADE;NM_PAIS;DS_IDIOMA;NR_PAGINAS;DS_ISBN_ISSN;DS_DIVULGACAO;DS_URL;DS_OBSERVACOES;IN_GLOSA
33002010034P1;GEOGRAFIA (GEOGRAFIA FISICA);USP;UNIVERSIDADE DE SAO PAULO;2017;23203118;2;10;II WORKSHOP DO PROGRAMA DE POS-GRADUACAO EM GEOGRAFIA FISICA;DEPARTAMENTO DE GEOGRAFIA - USP;SAO PAULO;BRASIL;PORTUGUES;-;-;OUTRO;-;-;0
33002010034P1;GEOGRAFIA (GEOGRAFIA FISICA);USP;UNIVERSIDADE DE SAO PAULO;2017;23203159;2;10;XVII SIMPOSIO BRASILEIRO DE GEOGRAFIA FISICA APLICADA;EDITORA UNICAMP;CAMPINAS;BRASIL;PORTUGUES;-;-;MEIO DIGITAL;-;-;0
33002010034P1;GEOGRAFIA (GEOGRAFIA FISICA);USP;UNIVERSIDADE DE SAO PAULO;2017;23203189;2;10;II WORKSHOP DO PROGRAMA DE POS-GRADUACAO EM GEOGRAFIA FISICA - USP.;FFLCH - DEPARTAMENTO DE GEOGRAFIA - USP;SAO PAULO;BRASIL;PORTUGUES;-;-;OUTRO;-;-;0
33002010034P1;GEOGRAFIA (GEOGRAFIA FISICA);USP;UNIVERSIDADE DE SAO PAULO;2017;23203197;2;10;XXI CONGRESO LATINOAMERICANO DE LA CIENCIA DEL SUELO Y XV CONGRESO EQUATORIANO DE LA CIENCIA DEL SUELO;SOCIEDADE LATINO-AMERICANA DA CIENCIA DO SOLO E SOCIEDADE EQUATORIANA DA CIENCIA DO SOLO.;QUITO;EQUADOR;ESPANHOL, PORTUGUES E INGLES;-;-;MEIO DIGITAL;HTTP://WWW.SECSUELO.ORG/WP-CONTENT/UPLOADS/2015/06/AVISO-XXI-CONGRESO-LATINOAMERICANO-SUELOS.PDF;-;0
33002010034P1;GEOGRAFIA (GEOGRAFIA FISICA);USP;UNIVERSIDADE DE SAO PAULO;2017;23203215;2;10;XVII SIMPOSIO BRASILEIRO DE GEOGRAFIA FISICA APLICADA E I CONGRESSO NACIONAL DE GEOGRAFIA FISICA;INSTITUTO DE GEOCIENCIAS DA UNIVERSIDADE ESTADUAL DE CAMPINAS/SP;CAMPINAS;BRASIL;PORTUGUES;-;-;OUTRO;-;-;0
33002010034P1;GEOGRAFIA (GEOGRAFIA FISICA);USP;UNIVERSIDADE DE SAO PAULO;2017;23203238;2;10;9TH INTERNACIONAL CONFERENCE ON GEOMORPHOLOGY OF THE INTERNACIONAL ASSOCIATION OF GEOMORPHOLOGISTS (IAG);INDIAN INSTITUTE OF GEOMORPHOLOGISTS;NEW DELHI;INDIA;INGLES;-;-;OUTRO;-;-;0
33002010034P1;GEOGRAFIA (GEOGRAFIA FISICA);USP;UNIVERSIDADE DE SAO PAULO;2017;23203267;2;10;VII CONFERENCIA BRASILEIRA SOBRE ESTABILIDADE DE ENCOSTAS;ABMS;FLORIANOPOLIS/ SANTA CATARINA;BRASIL;PORTUGUES;-;-;MEIO DIGITAL;HTTP://WWW.COBRAE2017.COM.BR/AREARESTRITA/APRESENTACOES/63/3953.PDF;-;0
33002010034P1;GEOGRAFIA (GEOGRAFIA FISICA);USP;UNIVERSIDADE DE SAO PAULO;2017;23203288;2;10;II WORKSHOP DO PROGRAMA DE POS-GRADUACAO EM GEOGRAFIA FISICA;PPGF - USP;SAO PAULO;BRASIL;PORTUGUES;-;-;OUTRO;-;-;0
42001013043P0;HISTORIA;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;2017;23203571;2;10;CAPITULO DE LIVRO FINALIZADO AGUARDANDO PUBLICACAO;NAO INFORMADO;RIO DE JANEIRO;BRASIL;PORTUGUES;22;-;IMPRESSO;-;-;0
42001013043P0;HISTORIA;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;2017;23203765;2;10;EDITORIAL;EDITORA DA UFRGS;PORTO ALEGRE;BRASIL;PORTUGUES;2;1983-201X;MEIO DIGITAL;HTTP://SEER.UFRGS.BR/ANOS90;VOL. 24, N. 45 (JUL. 2017), P. 11-12;0
42001013043P0;HISTORIA;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;2017;23203766;2;10;DOSSIE TEMATICO;BRATHAIR: APOIO DA FAPEMA;SAO LUIS;BRASIL;PORTUGUES;4;1519-9053;MEIO DIGITAL;HTTP://PPG.REVISTAS.UEMA.BR/INDEX.PHP/BRATHAIR/ARTICLE/VIEW/1444/1099;-;0
42001013043P0;HISTORIA;UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;2017;23203767;2;10;EDITORIAL;UNIVERSIDADE DE COIMBRA;-;-;PORTUGUES;-;-;MEIO DIGITAL;-;-;0
15001016069P2;PROCESSOS CONSTRUTIVOS E SANEAMENTO URBANO;UFPA;UNIVERSIDADE FEDERAL DO PARA;2017;23204539;2;10;ARTIGO SUBMETIDO AO CANADIAN JOURNAL OF CIVIL ENGINEERING;NRC RESEARCH PRESS JOURNALS;CANADA;CANADA;INGLES;42;-;MEIO DIGITAL;-;-;0
33003017061P5;DEMOGRAFIA;UNICAMP;UNIVERSIDADE ESTADUAL DE CAMPINAS;2017;23204831;2;10;NOTA TECNICA;LIBRUM;CAMPINAS;BRASIL;PORTUGUES;-;9788565608350;MEIO DIGITAL;HOMEPAGE: HTTP://WWW.LIBRUM.COM.BR/CAMPINASMETRO/INFO/;-;0
33003017061P5;DEMOGRAFIA;UNICAMP;UNIVERSIDADE ESTADUAL DE CAMPINAS;2017;23204931;2;10;RESENHA;REVISTA BRASILEIRA DE ESTUDOS DE POPULACAO (REBEP);RIO DE JANEIRO - RJ;BRASIL;PORTUGUES;7;ISSN 0102-30;VARIOS;HTTPS://WWW.REBEP.ORG.BR/;-;0
33003017061P5;DEMOGRAFIA;UNICAMP;UNIVERSIDADE ESTADUAL DE CAMPINAS;2017;23204970;2;10;ORGANIZACAO DE DOSSIE TEMATICO ESPECIAL NA REVISTA GEOGRAFIAS;IGC/UFMG;BELO HORIZONTE, MG;BRASIL;PORTUGUES;111;2237-549X;HIPERTEXTO;HTTP://WWW.IGC.UFMG.BR/PORTALDEPERIODICOS/INDEX.PHP/GEOGRAFIAS;-;0
41001010029P8;FILOSOFIA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23205579;2;10;LIVRO ORGANIZADO (NO PRELO);EDUFSC;FLORIANOPOLIS;BRASIL;PORTUGUES;300;-;OUTRO;-;-;0
15001016002P5;DESENVOLVIMENTO SUSTENTAVEL DO TROPICO UMIDO;UFPA;UNIVERSIDADE FEDERAL DO PARA;2017;23206304;2;10;ARTIGO ON-LINE;ONLINE;BELEM;BRASIL;PORTUGUES;-;9788599870662;IMPRESSO;HTTPS://WWW.BEHANCE.NET/;BELEM: FUNDACAO CULTURAL DO ESTADO DO PARA;0
15001016002P5;DESENVOLVIMENTO SUSTENTAVEL DO TROPICO UMIDO;UFPA;UNIVERSIDADE FEDERAL DO PARA;2017;23206487;2;10;PLANO ESTRATEGICO DE ATUACAO;NAO SE APLICA;-;BRASIL;PORTUGUES;32;-;IMPRESSO;HTTPS://WWW2.MPPA.MP.BR/SISTEMAS/GCSUBSITES/UPLOAD/25/LIVROPEAF2017.PDF;-;0
15001016002P5;DESENVOLVIMENTO SUSTENTAVEL DO TROPICO UMIDO;UFPA;UNIVERSIDADE FEDERAL DO PARA;2017;23206651;2;10;REVISTA FAMECOS (ONLINE);PROGRAMA DE POS-GRADUACAO EM COMUNICACAO SOCIAL DA PONTIFICIA UNIVERSIDADE CATOLICA/PPGCOM/PUCRS;PORTO ALEGRE/RS;BRASIL;PORTUGUES;22;14150549;MEIO DIGITAL;HTTP://REVISTASELETRONICAS.PUCRS.BR/OJS/INDEX.PHP/REVISTAFAMECOS/ISSUE/VIEW/1102/SHOWTOC;-;0
31007015011P8;ENGENHARIA DE DEFESA;IME;INSTITUTO MILITAR DE ENGENHARIA;2017;23208063;2;10;TOPICAL COLLECTION BRAZILIAN SYMPOSIUM OF THEORETICAL CHEMISTRY (SBQT2013);SPRINGER;-;ALEMANHA;INGLES;-;1610-2940;VARIOS;HTTP://LINK.SPRINGER.COM/JOURNAL/894/TOPICALCOLLECTION/AC_61C1CE3E5525F670F235915A34091892/PAGE/1;COLETANEA DE ARTIGOS DE CONFERENCIA SBQT 2013 ORGANIZADA POR DOCENTE DO PROGRAMA EM CONJUNTO COM PARTICIPANTE EXTERNO.;0
