CD_PROGRAMA_IES;NM_PROGRAMA_IES;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;AN_BASE_PRODUCAO;ID_ADD_PRODUCAO_INTELECTUAL;ID_TIPO_PRODUCAO;ID_SUBTIPO_PRODUCAO;DS_NATUREZA;DS_FORMACAO_INSTRUMENTAL;NM_EDITORA;NM_CIDADE;NM_PAIS;NR_PAGINAS;NR_CATALOGO;DS_DIVULGACAO;DS_URL;DS_OBSERVACOES;IN_GLOSA
24001015044P5;MUSICA;UFPB-JP;UNIVERSIDADE FEDERAL DA PARAIBA ( JOAO PESSOA );2017;23137418;2;28;OUTRA;2 VIOLINOS, VIOLA E VIOLONCELO;UFPA;BELEM - PA;BRASIL;7;VOL.3 N5;MEIO MAGNETICO;HTTP://PERIODICOS.UFPA.BR/INDEX.PHP/PPGARTES/ARTICLE/VIEW/5347;PARTITURA PUBLICADA NA REVISTA ARTERIAIS (UFPA) VOL.3 N5 ISSN 2446-5356;0
28001010026P1;MUSICA;UFBA;UNIVERSIDADE FEDERAL DA BAHIA;2017;23159772;2;28;OUTRA;SAX TENOR E PIANO;COMPOSITORES DA BAHIA, POR ALISSON GONCALVES;SALVADOR;BRASIL;-;-;OUTRO;HTTPS://WWW.YOUTUBE.COM/WATCH?V=A5DGAKVUSQW;-;0
32001010058P9;MUSICA;UFMG;UNIVERSIDADE FEDERAL DE MINAS GERAIS;2017;23250488;2;28;OUTRA;VIOLA CAIPIRA, QUINTETO DE CORDAS E FLAUTA;NS CONSULTORIA;BELO HORIZONTE;BRASIL;40;-;IMPRESSO;-;-;0
31021018024P8;ENSINO DAS PRATICAS MUSICAIS;UNIRIO;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;2017;23265323;2;28;CORAL;CORO MISTO;WWW.ORGANIZANDOACANTORIA.COM;RIO DE JANEIRO;BRASIL;-;-;MEIO DIGITAL;HTTPS://WWW.ORGANIZANDOACANTORIA.COM/BLANK;20 ARRANJOS CORAIS DO CANCIONEIRO POPULAR BRASILEIRO (APROX. 3 MIN CADA) PARA CORO E ACOMPANHAMENTO HARMONICO PUBLICADOS NO SITE WWW.ORGANIZANDOACANTORIA.COM.BR  IDEIAS SOBRE CANTO CORAL. ARTIGO PUBLICADO;0
31021018024P8;ENSINO DAS PRATICAS MUSICAIS;UNIRIO;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;2017;23265390;2;28;OUTRA;ELETROACUSTICA;PESSOAL;-;BRASIL;-;-;MEIO DIGITAL;HTTP://CSOUND.GITHUB.IO/ICSC2017/CONCERTS;-;0
31021018024P8;ENSINO DAS PRATICAS MUSICAIS;UNIRIO;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;2017;23265416;2;28;OUTRA;VIOLAO DE OITO CORDAS;PRODUCAO INDEPENDENTE;RIO DE JANEIRO;BRASIL;40;-;VARIOS;-;LANCAMENTO DO CD PARA VIOLAO DE OITO CORDAS: CHORA, VIOLAO. ESTE TRABALHO E COMPOSTO EXCLUSIVAMENTE POR ARRANJOS AUTORAIS DO INTERPRETE, DE REPERTORIOS BRASILEIROS ORIGINAIS PARA PIANO. LIGADA AS TEMATICAS DE OBRAS EMOCIONANTES OU NO CHORO.;0
31001017170P0;MUSICA;UFRJ;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;2017;23460253;2;28;OUTRA;BANDOLIM E VIOLAO;EDICAO PROPRIA;RJ;BRASIL;-;-;VARIOS;-;-;0
31001017170P0;MUSICA;UFRJ;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;2017;23460306;2;28;OUTRA;VIOLAO SOLO;EDICAO PROPRIA;RIO;BRASIL;-;-;VARIOS;-;-;0
31001017170P0;MUSICA;UFRJ;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;2017;23460321;2;28;OUTRA;QUARTETO DE VIOLOES;PARTICULAR;-;BRASIL;13;-;OUTRO;-;-;0
31001017170P0;MUSICA;UFRJ;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;2017;23460359;2;28;OUTRA;DUO DE VIOLA DE 10 CORDAS;EDICAO PROPRIA;RIO;BRASIL;-;-;VARIOS;-;-;0
31001017170P0;MUSICA;UFRJ;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;2017;23460441;2;28;OUTRA;DUO DE VIOLA DE 10 CORDAS;EDICAO PROPRIA;-;BRASIL;-;-;VARIOS;-;-;0
42005019012P2;TEOLOGIA;PUC/RS;PONTIFICIA UNIVERSIDADE CATOLICA DO RIO GRANDE DO SUL;2017;23504416;2;28;CANTO;-;CENTRO DE PASTORLA;PORTO ALEGRE;BRASIL;1;-;VARIOS;-;-;0
42005019012P2;TEOLOGIA;PUC/RS;PONTIFICIA UNIVERSIDADE CATOLICA DO RIO GRANDE DO SUL;2017;23504577;2;28;CANTO;-;SAO MIGUEL;CAXIAS DO SUL;BRASIL;1;-;VARIOS;-;-;0
